0.00000 0.00000
0.00040 0.02816
0.00050 0.03526
0.00060 0.04192
0.00070 0.04769
0.00080 0.05435
0.00090 0.06146
0.00100 0.06723
0.00110 0.07300
0.00120 0.08055
0.00130 0.08588
0.00140 0.09253
0.00150 0.09919
0.00160 0.10452
0.00170 0.11163
0.00180 0.11829
0.00190 0.12406
0.00200 0.13027
0.00210 0.13693
0.00220 0.14315
0.00230 0.14981
0.00240 0.15602
0.00250 0.16268
0.00260 0.16845
0.00270 0.17556
0.00280 0.18222
0.00290 0.18710
0.00300 0.19421
0.00310 0.20086
0.00320 0.20664
0.00330 0.21285
0.00340 0.21951
0.00350 0.22484
0.00360 0.23194
0.00370 0.23860
0.00380 0.24393
0.00390 0.25059
0.00400 0.25681
0.00410 0.26302
0.00420 0.26968
0.00430 0.27634
0.00440 0.28256
0.00450 0.28833
0.00460 0.29499
0.00470 0.30120
0.00480 0.30653
0.00490 0.31319
0.00500 0.31941
0.00510 0.32562
0.00520 0.33184
0.00530 0.33850
0.00540 0.34383
0.00550 0.35004
0.00560 0.35670
0.00570 0.36247
0.00580 0.36869
0.00590 0.37490
0.00600 0.38201
0.00610 0.38734
0.00620 0.39355
0.00630 0.39977
0.00640 0.40554
0.00650 0.41131
0.00660 0.41753
0.00670 0.42374
0.00680 0.42907
0.00690 0.43617
0.00700 0.44150
0.00710 0.44816
0.00720 0.45438
0.00730 0.45926
0.00740 0.46548
0.00750 0.47125
0.00760 0.47702
0.00770 0.48279
0.00780 0.48945
0.00790 0.49478
0.00800 0.50011
0.00810 0.50588
0.00820 0.51165
0.00830 0.51653
0.00840 0.52186
0.00850 0.52630
0.00860 0.52941
0.00870 0.52852
0.00880 0.52630
0.00890 0.52630
0.00900 0.52674
0.00910 0.52808
0.00920 0.52941
0.00930 0.53030
0.00940 0.53118
0.00950 0.53118
0.00960 0.53118
0.00970 0.53118
0.00980 0.53118
0.00990 0.53074
0.01000 0.52941
0.01010 0.52719
0.01020 0.52497
0.01030 0.52275
0.01040 0.51920
0.01050 0.51653
0.01060 0.51209
0.01070 0.50810
0.01080 0.50277
0.01090 0.49789
0.01100 0.49211
0.01110 0.48679
0.01120 0.48013
0.01130 0.47347
0.01140 0.46326
0.01150 0.45970
0.01160 0.44772
0.01170 0.44017
0.01180 0.43395
0.01190 0.42552
0.01200 0.41708
0.01210 0.40998
0.01220 0.40376
0.01230 0.39399
0.01240 0.38822
0.01250 0.38112
0.01260 0.37446
0.01270 0.36958
0.01280 0.36336
0.01290 0.35981
0.01300 0.35315
0.01310 0.34649
0.01320 0.34116
0.01330 0.33051
0.01340 0.31763
